# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NLJBGOEE_00003	GENE_NLJBGOEE_00003	TRANSCRIPT_NLJBGOEE_00003	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00004	GENE_NLJBGOEE_00004	TRANSCRIPT_NLJBGOEE_00004	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00005	GENE_NLJBGOEE_00005	TRANSCRIPT_NLJBGOEE_00005	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00006	GENE_NLJBGOEE_00006	TRANSCRIPT_NLJBGOEE_00006	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00007	GENE_NLJBGOEE_00007	TRANSCRIPT_NLJBGOEE_00007	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
NLJBGOEE_00008	GENE_NLJBGOEE_00008	TRANSCRIPT_NLJBGOEE_00008	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00009	GENE_NLJBGOEE_00009	TRANSCRIPT_NLJBGOEE_00009	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
NLJBGOEE_00010	GENE_NLJBGOEE_00010	TRANSCRIPT_NLJBGOEE_00010	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00011	GENE_NLJBGOEE_00011	TRANSCRIPT_NLJBGOEE_00011	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00012	GENE_NLJBGOEE_00012	TRANSCRIPT_NLJBGOEE_00012	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
